一、乾為天,一、乾為天,
六四：當進退兩難，抉擇困難時，應當採取積極的態度，惟有結合志同道合者，向前追求，才能使狀況明朗化。,六四,當進退兩難，抉擇困難時，應當採取積極的態度，惟有結合志同道合者，向前追求，才能使狀況明朗化。
九五：在孤立無援時，應當退守自保，不可逞強冒進。,九五,在孤立無援時，應當退守自保，不可逞強冒進。
上六：不能獲得應援，以致陷於進無可取，退無可守的絕境時，故會憂懼，血淚漣漣。,上六,不能獲得應援，以致陷於進無可取，退無可守的絕境時，故會憂懼，血淚漣漣。
,,
五路財神經卦解：水雷屯卦多積徳,五路財神經卦解,水雷屯卦多積徳
,,
,,
四、山水蒙,四、山水蒙,
釋：蒙昧，啟蒙，教育。（小鬼偷錢之象）,釋,蒙昧，啟蒙，教育。（小鬼偷錢之象）
初六：啟蒙教育，教育開始應當嚴厲，但不可不當，並應當先訂立規範。,初六,啟蒙教育，教育開始應當嚴厲，但不可不當，並應當先訂立規範。
九二：教育應當包容，有教無類，不可有貧賤富貴之分。,九二,教育應當包容，有教無類，不可有貧賤富貴之分。
六三：教育應堅定信念，不可見異思遷。,六三,教育應堅定信念，不可見異思遷。
六四：教育不脫離現實，好高騖遠。,六四,教育不脫離現實，好高騖遠。
六五：強調教學都應當謙遜。,六五,強調教學都應當謙遜。
上九：要以剛強的態度，防止外來的邪惡、思想及行為，對教導與被教導的人都有利。故只宜對外不宜對內。,上九,要以剛強的態度，防止外來的邪惡、思想及行為，對教導與被教導的人都有利。故只宜對外不宜對內。
,,
五路財神經卦解：山水蒙卦從教育,五路財神經卦解,山水蒙卦從教育
,,
,,
五、水天需,五、水天需,
釋：躊躇，期待。（明珠出土之象）,釋,躊躇，期待。（明珠出土之象）
初九：在必須等待時期，應保持距離，以策安全，而且要有恆心，意志不可動搖。,初九,在必須等待時期，應保持距離，以策安全，而且要有恆心，意志不可動搖。
九二：等待，必須忍耐，不可急進，不可被閒言閒語動搖。,九二,等待，必須忍耐，不可急進，不可被閒言閒語動搖。
九三：愈接近危險的階段，愈應當謹慎，不可妄進，不可急躁，以免自己招禍。,九三,愈接近危險的階段，愈應當謹慎，不可妄進，不可急躁，以免自己招禍。
六四：己陷入危險，千萬不可逞強，必須順應變化，才能化險為夷。,六四,己陷入危險，千萬不可逞強，必須順應變化，才能化險為夷。
九五：在可以安全等待的狀況時，仍然不可逞強而違背中正原則，更應期待、等待，否則仍有危險。,九五,在可以安全等待的狀況時，仍然不可逞強而違背中正原則，更應期待、等待，否則仍有危險。
上六：以柔制剛，以誠意對待，則不會有大損失。,上六,以柔制剛，以誠意對待，則不會有大損失。
,,
五路財神經卦解：水天需卦修智慧,五路財神經卦解,水天需卦修智慧
,,
,,
六、天水訟,六、天水訟,
釋：爭論，訴訟。（二人爭路之象）,釋,爭論，訴訟。（二人爭路之象）
初六：告誡爭訟不可拖延過久，應當及早檢討原因，以解釋求得化解。,初六,告誡爭訟不可拖延過久，應當及早檢討原因，以解釋求得化解。
九二：不可逞強爭訟，應當退讓深自反省。,九二,不可逞強爭訟，應當退讓深自反省。
六三：應當知足，不可逞強爭勝，隱忍自勵才是上策。,六三,應當知足，不可逞強爭勝，隱忍自勵才是上策。
九四：順其自然，不可勉強，安於正理，則心安理得，亦不會吃虧。,九四,順其自然，不可勉強，安於正理，則心安理得，亦不會吃虧。
九五：裁判訴訟，應以至中至正為根本，尤其應該客觀，不可偏私。,九五,裁判訴訟，應以至中至正為根本，尤其應該客觀，不可偏私。
上九：告誡以爭訟達到目的，也不足以持久，而且不會受人尊敬，雖勝亦可恥，故人與人之間，能以和為貴者，其褔分綿遠。,上九,告誡以爭訟達到目的，也不足以持久，而且不會受人尊敬，雖勝亦可恥，故人與人之間，能以和為貴者，其褔分綿遠。
※ 奉勸善好爭論、訴訟者，切記人與人之緣份此生非親即恩人，知恩不報，知親不敬者，其人一生永無安寧之日，是世間最可憐、可恥的。,,※ 奉勸善好爭論、訴訟者，切記人與人之緣份此生非親即恩人，知恩不報，知親不敬者，其人一生永無安寧之日，是世間最可憐、可恥的。
,,
五路財神經卦解：天水訟卦勿爭訟,五路財神經卦解,天水訟卦勿爭訟
,,
,,
七、地水師,七、地水師,
釋：軍隊，戰爭。（馬到成功之象）,釋,軍隊，戰爭。（馬到成功之象）
初六：強調嚴格軍律的重要性。,初六,強調嚴格軍律的重要性。
九二：統帥者剛毅中庸之道是最重要的。,九二,統帥者剛毅中庸之道是最重要的。
六三：統帥者不中不正必有嚴重後果，對全體是非常不利的。,六三,統帥者不中不正必有嚴重後果，對全體是非常不利的。
六四：統帥應以安全為首要，不可違背常規。,六四,統帥應以安全為首要，不可違背常規。
六五：統帥權統一是成功的重要關鍵。,六五,統帥權統一是成功的重要關鍵。
上六：小人不可以重用，因為必定會使國家或團體陷於混亂，故小人不可使其形成政治勢力。,上六,小人不可以重用，因為必定會使國家或團體陷於混亂，故小人不可使其形成政治勢力。
※ 小人的思想與心量的狹隘等行為，是可憐的眾生，我們應該給予機會反省懺悔，因為小人的生命往往是短促的。,,※ 小人的思想與心量的狹隘等行為，是可憐的眾生，我們應該給予機會反省懺悔，因為小人的生命往往是短促的。
,,
五路財神經卦解：地水師卦修智慧,五路財神經卦解,地水師卦修智慧
,,
,,
八、水地比,八、水地比,
釋：相親，相依，依附。（船得順風之象）,釋,相親，相依，依附。（船得順風之象）
初六：人與人應該相親相輔，應由誠信開始。,初六,人與人應該相親相輔，應由誠信開始。
六二：相親相輔，動機應當純正，應發自內心，要求主動，必然吉祥。,六二,相親相輔，動機應當純正，應發自內心，要求主動，必然吉祥。
六三：相親相輔的對象，應當有所選擇。,六三,相親相輔的對象，應當有所選擇。
六四：向外與賢明的人親近才有益。,六四,向外與賢明的人親近才有益。
九五：堅守來者不拒，去者不留，順其自然，合乎中庸正道，態度寬宏無私，至仁至義的態度，地方上的人們，就不會恐懼戒慎，則吉祥。,九五,堅守來者不拒，去者不留，順其自然，合乎中庸正道，態度寬宏無私，至仁至義的態度，地方上的人們，就不會恐懼戒慎，則吉祥。
上六：相親相輔，應貫徹始終，才會有好結果。,上六,相親相輔，應貫徹始終，才會有好結果。
,,
五路財神經卦解：水地比卦相親輔,五路財神經卦解,水地比卦相親輔
,,
,,
九、風天小畜,九、風天小畜,
釋：小的蓄積，小的阻礙。（密雲不雨之象）,釋,小的蓄積，小的阻礙。（密雲不雨之象）
初九：己經在困頓中，應當遵守當初純正的動機。,初九,己經在困頓中，應當遵守當初純正的動機。
九二：在突破障礙時，應與志同道合者攜手並進，並把握中庸正道的原則。,九二,在突破障礙時，應與志同道合者攜手並進，並把握中庸正道的原則。
九三：在突破阻礙時，應斷然的脫離羈絆。,九三,在突破阻礙時，應斷然的脫離羈絆。
六四：在突破障礙時，應一本誠信，方可得到應援。,六四,在突破障礙時，應一本誠信，方可得到應援。
九五：只要排除私欲，有攜手共進的誠信，不但自己富有，也要使鄰居富有，能得到鄰居的協助。,九五,只要排除私欲，有攜手共進的誠信，不但自己富有，也要使鄰居富有，能得到鄰居的協助。
上九：再以盈滿告誡，蓄積應當適可而止，不可貪得無厭，否則仍然阻礙重重，最後落眾叛親離。,上九,再以盈滿告誡，蓄積應當適可而止，不可貪得無厭，否則仍然阻礙重重，最後落眾叛親離。
,,
五路財神經卦解：風天小畜沙成塔,五路財神經卦解,風天小畜沙成塔
,,
,,
十、天澤履,十、天澤履,
釋：踐履，履行。（行走薄冰之象）,釋,踐履，履行。（行走薄冰之象）
初九：實踐理想，履行責任，應當一本初衷，特立獨行，不可同流合污。,初九,實踐理想，履行責任，應當一本初衷，特立獨行，不可同流合污。
九二：道不合，不相為謀，應該要有心胸坦蕩擇善固執的態度。,九二,道不合，不相為謀，應該要有心胸坦蕩擇善固執的態度。
六三：實踐履行應當量力守分，不可逞強以致適得其反。,六三,實踐履行應當量力守分，不可逞強以致適得其反。
九四：戒慎恐懼，以柔克剛的法則，才能施展抱負。,九四,戒慎恐懼，以柔克剛的法則，才能施展抱負。
九五：告誡人正處於有才能，又有地位，不可剛愎一意孤行，過於自負，必有危險性。,九五,告誡人正處於有才能，又有地位，不可剛愎一意孤行，過於自負，必有危險性。
上九：要大吉大利必須看踐履是否圓滿，而沒有瑕疵者，必得福慶。故告誡成敗的評價在結果。,上九,要大吉大利必須看踐履是否圓滿，而沒有瑕疵者，必得福慶。故告誡成敗的評價在結果。
,,
五路財神經卦解：天澤履卦修禮節,五路財神經卦解,天澤履卦修禮節
,,
,,
十一、地天泰,十一、地天泰,
釋：亨通，泰平。（喜報三元之象）,釋,亨通，泰平。（喜報三元之象）
初九：告誡不可耽於安樂，仍應團結，繼續求發展。,初九,告誡不可耽於安樂，仍應團結，繼續求發展。
九二：要保持安泰應當包容，果斷，光明磊落，剛柔並濟，把握中庸原則。,九二,要保持安泰應當包容，果斷，光明磊落，剛柔並濟，把握中庸原則。
九三：注意告誡物極必反，仍應一本初衷，堅守正道。,九三,注意告誡物極必反，仍應一本初衷，堅守正道。
六四：告誡居安思危，仍應團結，不可掉以輕心。,六四,告誡居安思危，仍應團結，不可掉以輕心。
六五：在安泰時期，更應當選賢與能。,六五,在安泰時期，更應當選賢與能。
上六：泰極而否，頹勢己經顯見，只可消極的使損害減少到最低限度，不可逞強力圖挽救。,上六,泰極而否，頹勢己經顯見，只可消極的使損害減少到最低限度，不可逞強力圖挽救。
,,
五路財神經卦解：地天泰卦勤修心,五路財神經卦解,地天泰卦勤修心
,,
,,
十二、天地否,十二、天地否,
釋：閉塞，黑暗。（虎落陷坑之象）,釋,閉塞，黑暗。（虎落陷坑之象）
初六：在閉塞時期，小人將得勢，應精誠團結，防範於未然，以君子守份為原則。,初六,在閉塞時期，小人將得勢，應精誠團結，防範於未然，以君子守份為原則。
六二：在閉塞時期，君子應當覺悟，了解適者生存的道理，自保以等待時機。,六二,在閉塞時期，君子應當覺悟，了解適者生存的道理，自保以等待時機。
六三：小人己經顯露了陰險的真面目。,六三,小人己經顯露了陰險的真面目。
九四：君子要排除人的勢力，必須因應時機精誠團結。,九四,君子要排除人的勢力，必須因應時機精誠團結。
九五：排除小人勢力的時機己經到來，但仍應謹慎從事，警惕反擊。,九五,排除小人勢力的時機己經到來，但仍應謹慎從事，警惕反擊。
上九：否極必然泰來。,上九,否極必然泰來。
,,
五路財神經卦解：天地否卦難交集,五路財神經卦解,天地否卦難交集
,,
,,
十三、天火同人,十三、天火同人,
釋：集結，和同。（仙人指路之象）,釋,集結，和同。（仙人指路之象）
初九：說明同心協力首先應打破門戶的成見。,初九,說明同心協力首先應打破門戶的成見。
六二：應進一步打破宗族觀念。,六二,應進一步打破宗族觀念。
九三：和同，是道義的結合，足以使不義畏懼。,九三,和同，是道義的結合，足以使不義畏懼。
九四：和同代表正義，必然可使邪惡屈服。,九四,和同代表正義，必然可使邪惡屈服。
九五：和同仍須排除障礙，必要時不惜用強，先苦而後能甘。,九五,和同仍須排除障礙，必要時不惜用強，先苦而後能甘。
上九：和同應本積極的態度，但也並非同流合污。,上九,和同應本積極的態度，但也並非同流合污。
,,
五路財神經卦解：天火同人仙指路,五路財神經卦解,天火同人仙指路
,,
,,
,,
,,
十四、火天大有,十四、火天大有,
釋：大有收穫，偉大的事業。（金玉滿堂之象）,釋,大有收穫，偉大的事業。（金玉滿堂之象）
初九：告誡得意容易忘形，不可驕傲，在艱難中才會戒懼。,初九,告誡得意容易忘形，不可驕傲，在艱難中才會戒懼。
九二：凡事處處以中道是重要的。,九二,凡事處處以中道是重要的。
九三：應禮賢下士，不可寵信小人。,九三,應禮賢下士，不可寵信小人。
九四：應自我節制，否則有災禍降臨。,九四,應自我節制，否則有災禍降臨。
六五：應以誠信為本，恩威並濟。,六五,應以誠信為本，恩威並濟。
上九：應有滿而不溢的修養。,上九,應有滿而不溢的修養。
,,
五路財神經卦解：火天大有大成就,五路財神經卦解,火天大有大成就
,,
,,
十五、地山謙,十五、地山謙,
釋：謙遜的美德。（二人分金之象）,釋,謙遜的美德。（二人分金之象）
初六：強調謙虛並非消極的退讓，而是積極有作為。,初六,強調謙虛並非消極的退讓，而是積極有作為。
六二：必須動機純正，引起共鳴，才是謙虛。,六二,必須動機純正，引起共鳴，才是謙虛。
九三：謙虛必須有實質，可傲而不傲，才是真正的謙虛。,九三,謙虛必須有實質，可傲而不傲，才是真正的謙虛。
六四：謙虛的效用，無往不利。,六四,謙虛的效用，無往不利。
六五：用兵是為了征伐不服的人，不能以德服其人，故不得己只有使用武力。,六五,用兵是為了征伐不服的人，不能以德服其人，故不得己只有使用武力。
上六：將謙虛的功效，發揮到政略，戰略的運用上，然而，也強調謙虛必須以力量為後盾，才能有積極的作為。,上六,將謙虛的功效，發揮到政略，戰略的運用上，然而，也強調謙虛必須以力量為後盾，才能有積極的作為。
,,
五路財神經卦解：地山謙卦謙者賢,五路財神經卦解,地山謙卦謙者賢
,,
,,
十六、雷地豫,十六、雷地豫,
釋：喜悅，安樂。（青龍得位之象）,釋,喜悅，安樂。（青龍得位之象）
初六：強調不可獨樂，應當眾樂樂。,初六,強調不可獨樂，應當眾樂樂。
六二：在安樂中不可沈溺，應保持警覺。,六二,在安樂中不可沈溺，應保持警覺。
六三：安樂應得自正當之途徑與心念行為。,六三,安樂應得自正當之途徑與心念行為。
九四：必須誠信，精誠團結，才有安樂。,九四,必須誠信，精誠團結，才有安樂。
六五：樂而不可忘憂，中庸、堅守純正，可避免滅亡。,六五,樂而不可忘憂，中庸、堅守純正，可避免滅亡。
上六：強調樂極生悲，應有行動，時時求變，才可以保持長久。,上六,強調樂極生悲，應有行動，時時求變，才可以保持長久。
,,
五路財神經卦解：雷地豫卦修善行,五路財神經卦解,雷地豫卦修善行
,,
,,
十七、澤雷隨,十七、澤雷隨,
釋：隨從，隨機。（推車靠崖之象）,釋,隨從，隨機。（推車靠崖之象）
初九：追隨應以群眾的利益為依歸，變通而不違背原則。,初九,追隨應以群眾的利益為依歸，變通而不違背原則。
六二：不可貪圖近利，喪失了本份。,六二,不可貪圖近利，喪失了本份。
六三：追隨的動機應純正。,六三,追隨的動機應純正。
九四：應當誠信、守分，而且明辨進取的道理。,九四,應當誠信、守分，而且明辨進取的道理。
九五：應當擇善追隨。,九五,應當擇善追隨。
上六：至誠團結才會有鞏固的根本。,上六,至誠團結才會有鞏固的根本。
,,
五路財神經卦解：澤雷隨卦宜隨緣,五路財神經卦解,澤雷隨卦宜隨緣
,,
,,
,,
,,
十八、山風蠱,十八、山風蠱,
釋：腐敗，革新。（百事不順之象）,釋,腐敗，革新。（百事不順之象）
初六：挽救敗壞的事業，必然是在艱苦中奮鬥。,初六,挽救敗壞的事業，必然是在艱苦中奮鬥。
九二：挽救敗壞的事業，譴責過去無益，應以中庸為原則，致力於將來。,九二,挽救敗壞的事業，譴責過去無益，應以中庸為原則，致力於將來。
九三：挽救敗壞的事業，不可剛強過去。,九三,挽救敗壞的事業，不可剛強過去。
六四：挽救敗壞的事業，必須徹底，不可過於寬容。,六四,挽救敗壞的事業，必須徹底，不可過於寬容。
六五：挽救敗壞的事業，必須用賢能的人與智慧。,六五,挽救敗壞的事業，必須用賢能的人與智慧。
上九：應有隱士般高尚的氣節，堅持自己的原則。,上九,應有隱士般高尚的氣節，堅持自己的原則。
,,
五路財神經卦解：山風蠱卦表面好,五路財神經卦解,山風蠱卦表面好
,,
,,
十九、地澤臨,十九、地澤臨,
釋：迫臨，臨下。（發政施仁之象）,釋,迫臨，臨下。（發政施仁之象）
初九：領導應以人格感召。,初九,領導應以人格感召。
九二：領導應德威並濟，剛毅是必要的。,九二,領導應德威並濟，剛毅是必要的。
六三：領導不可以用誘騙的手段。,六三,領導不可以用誘騙的手段。
六四：領導應用賢能的人與智慧。,六四,領導應用賢能的人與智慧。
六五：領導要以智慧運用組織。,六五,領導要以智慧運用組織。
上六：領導應當敦厚，不可刻薄。,上六,領導應當敦厚，不可刻薄。
,,
五路財神經卦解：地澤臨卦修仁德,五路財神經卦解,地澤臨卦修仁德
,,
,,
二十、風地觀,二十、風地觀,
觀看、展示。（接受觀摩之象）,觀看、展示。（接受觀摩之象）,觀看、展示。（接受觀摩之象）
初六：觀察不可幼稚，應高瞻遠矚。,初六,觀察不可幼稚，應高瞻遠矚。
六二：觀察不可偏狹。,六二,觀察不可偏狹。
六三：觀察應有主見，不可盲從。,六三,觀察應有主見，不可盲從。
六四：應觀察民性，了解民情疾苦。,六四,應觀察民性，了解民情疾苦。
九五：應當視察自己的作為，檢討反省，而後懺悔。,九五,應當視察自己的作為，檢討反省，而後懺悔。
上六：說明在上者時刻都被注目，不可掉以輕心，應該言行合一。,上六,說明在上者時刻都被注目，不可掉以輕心，應該言行合一。
,,
五路財神經卦解：風地觀卦多觀察,五路財神經卦解,風地觀卦多觀察
,,
,,
二十一、火雷噬嗑,二十一、火雷噬嗑,
釋：咬合，刑罰。（餓虎飢食之象）,釋,咬合，刑罰。（餓虎飢食之象）
初九：對小罪要加以懲罰，以免蔓延成大過。,初九,對小罪要加以懲罰，以免蔓延成大過。
六二：犯錯如果不是給以相當重的懲罰，將收不到懲誡的效果，即是重罰主義。,六二,犯錯如果不是給以相當重的懲罰，將收不到懲誡的效果，即是重罰主義。
六三：刑罰多少會遇到阻礙，但必須排除挫折。,六三,刑罰多少會遇到阻礙，但必須排除挫折。
九四：強調懲罰的困難，必須冷靜果斷，堅守正道，不可輕率。,九四,強調懲罰的困難，必須冷靜果斷，堅守正道，不可輕率。
六五：懲罰為不得己的手段，必須剛柔並濟，中而且正。,六五,懲罰為不得己的手段，必須剛柔並濟，中而且正。
上九：告誡犯罪到了氾濫的程度，必然凶險。,上九,告誡犯罪到了氾濫的程度，必然凶險。
,,
五路財神經卦解：火雷噬嗑勿貪心,五路財神經卦解,火雷噬嗑勿貪心
,,
,,
二十二、山火賁,二十二、山火賁,
釋：裝飾。（萌芽出土之象）,釋,裝飾。（萌芽出土之象）
初九：文飾應恰當，勿過份。,初九,文飾應恰當，勿過份。
六二：在沒有應援時，應當追隨接近有實力的人物。,六二,在沒有應援時，應當追隨接近有實力的人物。
九三：不要被外表文飾所誘惑、迷失以玫沈溺不能自拔。,九三,不要被外表文飾所誘惑、迷失以玫沈溺不能自拔。
六四：在達不到願望，一時遭到挫折時，只要堅持初衷，最後仍然不會怨尤。即文飾重實效，不在一時的得失。,六四,在達不到願望，一時遭到挫折時，只要堅持初衷，最後仍然不會怨尤。即文飾重實效，不在一時的得失。
六五：強調文飾重實質，不可虛偽。,六五,強調文飾重實質，不可虛偽。
上九：領悟一切，放棄虛飾，悠然自得。即強調一切文飾，都是空虛，應當返璞歸真。,上九,領悟一切，放棄虛飾，悠然自得。即強調一切文飾，都是空虛，應當返璞歸真。
,,
五路財神經卦解：山火賁卦多讀書,五路財神經卦解,山火賁卦多讀書
,,
,,
二十三、山地剝,二十三、山地剝,
釋：剝落、侵蝕。（瑣碎事多之象）,釋,剝落、侵蝕。（瑣碎事多之象）
初六：剝落是漸進的。,初六,剝落是漸進的。
六二：小人的勢力，愈來愈凶，應該開始有所警覺。,六二,小人的勢力，愈來愈凶，應該開始有所警覺。
六三：在剝落的時刻，不可與小人同流合污。,六三,在剝落的時刻，不可與小人同流合污。
六四：小人的凶險行為己經臨身，沒有閒暇討論是邪是正，所以直接說凶。,六四,小人的凶險行為己經臨身，沒有閒暇討論是邪是正，所以直接說凶。
六五：剝落的時刻，無可救藥，惟有期待小人改過從善。,六五,剝落的時刻，無可救藥，惟有期待小人改過從善。
上九：在剝落的時刻，唯有支持君子，才能得救。,上九,在剝落的時刻，唯有支持君子，才能得救。
,,
五路財神經卦解：山地剝卦修漸進,五路財神經卦解,山地剝卦修漸進
,,
,,
二十四、地雷復,二十四、地雷復,
釋：復歸，復來。（夫妻反目之象）,釋,復歸，復來。（夫妻反目之象）
初九：不要走遠就返回，及早改過，以修身之意，必須及時行動，不可反復矛盾自己的心念及行為。,初九,不要走遠就返回，及早改過，以修身之意，必須及時行動，不可反復矛盾自己的心念及行為。
六二：在恢復時期，應當崇尚完美。,六二,在恢復時期，應當崇尚完美。
六三：恢復應當慎重，不可一錯再錯。,六三,恢復應當慎重，不可一錯再錯。
六四：在恢復時期，吉凶未定，必須堅持原則，為所當為，不該為而不可為。,六四,在恢復時期，吉凶未定，必須堅持原則，為所當為，不該為而不可為。
六五：恢復必須善固執。,六五,恢復必須善固執。
上六：大勢己經到恢復時期，如果依然執迷不悟，必然凶險。,上六,大勢己經到恢復時期，如果依然執迷不悟，必然凶險。
,,
五路財神經卦解：地雷復卦從頭來,五路財神經卦解,地雷復卦從頭來
,,
,,
二十五、天雷无妄,二十五、天雷无妄,
釋：不虛偽，不往外求。（宜守本分之象）,釋,不虛偽，不往外求。（宜守本分之象）
初九：不虛偽的行必然有利。,初九,不虛偽的行必然有利。
六二：不存非分的奢望，即是耕耘並非期望富有，而是盡心盡力，問心無愧。,六二,不存非分的奢望，即是耕耘並非期望富有，而是盡心盡力，問心無愧。
六三：不虛偽並不一定就能得到善報。,六三,不虛偽並不一定就能得到善報。
九四：剛健無私才是真正的不虛偽。,九四,剛健無私才是真正的不虛偽。
九五：不造作就是不虛偽。,九五,不造作就是不虛偽。
上九：不逞強也是不虛偽。,上九,不逞強也是不虛偽。
,,
五路財神經卦解：天雷无妄宜守成,五路財神經卦解,天雷无妄宜守成
,,
,,
二十六、山天大畜,二十六、山天大畜,
釋：大蓄，大阻止。（陣勢得開之象）,釋,大蓄，大阻止。（陣勢得開之象）
初九：大有積蓄，應當適可而止，得意不可再往。,初九,大有積蓄，應當適可而止，得意不可再往。
九二：大有積蓄，更應當機警，當應停止時，即應當斷然停止。,九二,大有積蓄，更應當機警，當應停止時，即應當斷然停止。
九三：大有積蓄，再前進必須謹慎，應有及時可以停止的萬全準備。,九三,大有積蓄，再前進必須謹慎，應有及時可以停止的萬全準備。
六四：最有效的阻止是止於未然。,六四,最有效的阻止是止於未然。
六五：有效的阻止，應當正本清源，與其無所生是上策。,六五,有效的阻止，應當正本清源，與其無所生是上策。
上九：最有效的阻止方法，是不阻止，而是疏通，以達到圓滿。,上九,最有效的阻止方法，是不阻止，而是疏通，以達到圓滿。
,,
五路財神經卦解：山天大畜要魄力,五路財神經卦解,山天大畜要魄力
,,
,,
二十七、山雷頤,二十七、山雷頤,
釋：口、供養。（渭水訪賢之象）,釋,口、供養。（渭水訪賢之象）
初九：衹羡慕他人的富貴，不知道運用自己的智慧，並不足以富貴，所以凶險。,初九,衹羡慕他人的富貴，不知道運用自己的智慧，並不足以富貴，所以凶險。
六二：求養必須依循常理，不可違背原則。,六二,求養必須依循常理，不可違背原則。
六三：求養供養必須採取正當的手段。,六三,求養供養必須採取正當的手段。
六四：求養只要光明正大，不妨取之於民，用之於民。,六四,求養只要光明正大，不妨取之於民，用之於民。
六五：求養只要心念動機純正，甚至可以權宜行事。,六五,求養只要心念動機純正，甚至可以權宜行事。
上九：供養是善行，值得冒險。,上九,供養是善行，值得冒險。
,,
五路財神經卦解：山雷頤卦訪賢人,五路財神經卦解,山雷頤卦訪賢人
,,
,,
二十八、澤風大過,二十八、澤風大過,
釋：大的過度，非常行動。（夜夢金銀之象）,釋,大的過度，非常行動。（夜夢金銀之象）
初六：己面臨非常時期，行動當非常慎重。,初六,己面臨非常時期，行動當非常慎重。
九二：在非常時期，不能拘泥常規，應當集結力量，採取非常手段。,九二,在非常時期，不能拘泥常規，應當集結力量，採取非常手段。
九三：當在非常時期，必然危機四伏，不可過度自信，失去一切助力。,九三,當在非常時期，必然危機四伏，不可過度自信，失去一切助力。
九四：非常行動，固然需要一切的助力，但也不可被邪惡牽累。,九四,非常行動，固然需要一切的助力，但也不可被邪惡牽累。
九五：非常行動，手段仍應當正當，不可違背人倫天理。,九五,非常行動，手段仍應當正當，不可違背人倫天理。
上六：非常行動，往往明知不可為，而不得不有所為，以致覆滅，這也是無奈的，故應當三思而後行，以免造成無法彌補的過失。,上六,非常行動，往往明知不可為，而不得不有所為，以致覆滅，這也是無奈的，故應當三思而後行，以免造成無法彌補的過失。
,,
五路財神經卦解：澤風大過多夢幻,五路財神經卦解,澤風大過多夢幻
,,
,,
二十九、坎為水,二十九、坎為水,
釋：陷阱，重重險難。（水中撈月之象）,釋,陷阱，重重險難。（水中撈月之象）
初六：已經深陷於險中，謹防不能自拔。,初六,已經深陷於險中，謹防不能自拔。
九二：在險難中時，不可操之過急，應逐步設法脫險。,九二,在險難中時，不可操之過急，應逐步設法脫險。
六三：在重重險難中時，不可妄動，最重要的是應先求自保，靜心以等萬變。,六三,在重重險難中時，不可妄動，最重要的是應先求自保，靜心以等萬變。
六四：險難中，應剛柔並濟，坦誠來往，必然有益。,六四,險難中，應剛柔並濟，坦誠來往，必然有益。
九五：雖然有希望脫險，也應把握最有利的時機。,九五,雖然有希望脫險，也應把握最有利的時機。
上六：在險難時輕舉妄動，必然愈陷愈深，就無以自拔了，慎之。,上六,在險難時輕舉妄動，必然愈陷愈深，就無以自拔了，慎之。
,,
五路財神經卦解：坎宮法語如甘露、坎宮八卦忌妄動,五路財神經卦解,坎宮法語如甘露、坎宮八卦忌妄動
,,
,,
三十、離為火,三十、離為火,
釋：附著，上昇的太陽。（天官賜褔之象）,釋,附著，上昇的太陽。（天官賜褔之象）
初九：要依附前應先認清對象。,初九,要依附前應先認清對象。
